miRNA,Gene expression (RPM log2)
hsa-miR-16-5p,8.322541493
hsa-miR-22-5p,5.657480437
hsa-miR-29c-5p,4.815846062
hsa-miR-320b,0.964989268
hsa-miR-769-5p,3.990524619
hsa-miR-224-5p,1.327559183
hsa-miR-200b-5p,5.558514022
hsa-miR-217,-1.842366393
hsa-miR-629-3p,0.479562736
hsa-miR-491-5p,-0.842366393
hsa-miR-542-5p,-0.257402168
hsa-miR-485-3p,-0.257403893
