miRNA,Gene expression (RPM log2)
hsa-miR-224-5p,1.560364753
hsa-let-7i-3p,4.766815948
hsa-miR-664a-5p,3.546425809
hsa-miR-3613-3p,-0.23318437
hsa-miR-3917,-1.332720043
hsa-miR-192-3p,2.705415307
hsa-miR-222-5p,3.277777847
hsa-miR-362-3p,3.39130677
hsa-miR-335-5p,2.286190085
hsa-miR-20b-3p,-3.140074965
hsa-miR-1247-5p,-0.439635247
hsa-miR-3687,1.414513886
hsa-miR-581,-3.140074965
