miRNA,Gene expression (RPM log2)
hsa-miR-10a-5p,15.87757307
hsa-miR-200b-3p,10.89137187
hsa-miR-140-5p,6.508332269
hsa-miR-9-5p,7.425053867
hsa-miR-491-5p,-1.77707182
hsa-miR-1468-5p,1.39285483
hsa-miR-935,0
hsa-miR-1269a,-0.777069348
hsa-miR-135b-3p,2.544858005
hsa-miR-31-3p,-1.77707182
hsa-miR-656-3p,0.544858253
