miRNA,KMG0071_R1
MIR632,3.81
MIR633,0.38
MIR634,3.43
MIR635,1.91
MIR636,49.58
MIR637,4.58
MIR638,2.67
MIR639,8.01
MIR640,1.14
MIR641,38.52
MIR642A,2.67
MIR642B,11.82
MIR643,2.29
MIR644A,3.81
MIR645,3.43
MIR646,2.29
MIR647,3.05
MIR648,1.53
MIR649,0
MIR6499,1.53
MIR650,3.43
MIR6500,0.38
MIR6501,1.53
MIR6502,0.76
MIR6503,2.67
MIR6504,0.38
MIR6505,4.96
MIR6506,2.67
MIR6507,2.67
MIR6508,0
MIR6509,2.67
MIR651,19.07
MIR6510,0.76
MIR6511B1,0
MIR6511B2,0
MIR6512,0.76
MIR6513,7.25
MIR6514,3.81
MIR6515,6.48
MIR6516,37.76
MIR652,148.37
MIR653,2.67
MIR654,1.53
MIR655,2.29
MIR656,1.14
MIR657,1.91
MIR658,2.29
MIR659,1.14
MIR660,210.54
MIR661,2.67
MIR662,1.53
MIR663A,5.72
MIR663B,4.58
MIR664A,75.52
MIR664B,7.63
MIR665,4.2
MIR668,0
MIR670,0.38
MIR671,81.24
MIR6715A,0.38
MIR6715B,0
MIR6716,2.67
MIR6717,8.01
MIR6718,1.53
MIR6719,0.76
MIR6720,0.38
MIR6721,10.68
MIR6722,3.05
MIR6726,1.91
MIR6727,4.2
MIR6728,0.38
MIR6729,6.48
MIR6730,5.34
MIR6731,5.72
MIR6732,1.91
MIR6733,3.05
MIR6734,19.45
MIR6735,3.81
MIR6736,5.34
MIR6737,2.29
MIR6738,4.96
MIR6739,5.72
MIR6740,3.81
MIR6741,5.34
MIR6742,6.48
MIR6743,4.2
MIR6744,0.38
MIR6745,3.43
MIR6746,6.1
MIR6747,4.58
MIR6748,2.67
MIR6749,1.53
MIR675,2.67
MIR6750,3.05
MIR6751,3.43
MIR6752,4.58
MIR6753,2.67
MIR6754,13.73
MIR6755,0
MIR6756,23.65
MIR6757,2.67
MIR6758,7.25
MIR6759,4.2
MIR676,4.96
MIR6760,6.1
MIR6761,4.2
MIR6762,1.53
MIR6763,5.34
MIR6764,32.42
MIR6765,3.05
MIR6766,4.96
MIR6767,4.58
MIR6768,1.14
MIR6769A,3.81
MIR6769B,5.34
MIR6771,12.59
MIR6772,1.53
MIR6773,0.76
MIR6774,2.29
MIR6775,1.91
MIR6776,3.43
MIR6777,3.05
MIR6778,4.2
MIR6779,3.05
MIR6780A,4.58
MIR6780B,6.1
MIR6781,1.53
MIR6782,8.77
MIR6783,3.43
MIR6784,1.91
MIR6785,3.05
MIR6786,2.67
MIR6787,2.29
MIR6788,3.05
MIR6789,2.67
MIR6790,4.58
MIR6791,2.67
MIR6792,1.53
MIR6793,5.72
MIR6794,3.81
MIR6795,5.34
MIR6796,3.43
MIR6797,6.1
MIR6798,1.53
MIR6799,1.53
MIR6800,3.81
MIR6801,3.43
MIR6802,12.21
MIR6803,6.1
MIR6804,2.29
MIR6805,3.05
MIR6806,0.76
MIR6807,3.43
MIR6808,1.91
MIR6809,4.2
MIR6810,6.1
MIR6811,1.53
MIR6812,22.88
MIR6813,5.72
MIR6814,0.38
MIR6815,3.43
MIR6816,1.91
MIR6817,1.91
MIR6818,6.87
MIR6819,6.1
MIR6820,3.81
MIR6821,6.1
MIR6822,0.76
MIR6823,3.43
MIR6824,3.43
MIR6825,2.29
MIR6826,0.76
MIR6828,3.43
MIR6829,4.58
MIR6830,1.14
MIR6831,1.91
MIR6832,3.43
MIR6833,3.43
MIR6834,1.91
MIR6835,2.29
MIR6836,2.29
MIR6837,0.38
MIR6838,1.53
MIR6839,1.14
MIR6840,0
MIR6841,1.14
MIR6842,3.43
MIR6843,1.53
MIR6844,0
MIR6845,1.91
MIR6846,4.2
MIR6847,3.05
MIR6848,1.14
MIR6849,1.14
MIR6850,7.63
MIR6851,0.76
MIR6852,41.57
MIR6853,1.14
MIR6854,1.53
MIR6855,1.91
MIR6856,2.29
MIR6857,2.29
MIR6858,0.76
MIR6860,11.06
MIR6861,6.1
MIR6862-1,1.53
MIR6862-2,1.53
MIR6863,0.38
MIR6864,1.14
MIR6865,3.81
MIR6866,2.29
MIR6867,8.01
MIR6868,1.91
MIR6869,5.34
MIR6870,4.2
MIR6871,3.05
MIR6872,1.91
MIR6873,14.49
MIR6874,0.38
MIR6875,0
MIR6876,1.91
MIR6877,8.77
MIR6878,0.38
MIR6879,6.87
MIR6880,4.96
MIR6881,1.53
MIR6882,27.84
MIR6883,0.38
MIR6884,3.05
MIR6885,3.81
MIR6886,2.29
MIR6887,2.29
MIR6888,1.91
MIR6889,3.05
MIR6890,2.29
MIR6891,5.72
MIR6892,4.58
MIR6893,1.91
MIR6894,4.58
MIR6895,1.53
MIR7-1,4.58
MIR7-2,1.91
MIR7-3,2.29
MIR708,22.12
MIR7106,3.81
MIR7107,11.06
MIR7108,11.06
MIR7109,0.76
MIR711,1.53
MIR7110,2.29
MIR7111,2.67
MIR7112,0.76
MIR7113,1.91
MIR7114,1.91
MIR7150,4.96
MIR7151,1.14
MIR7152,0
MIR7153,1.91
MIR7154,1.14
MIR7155,0
MIR7156,2.29
MIR7157,0.38
MIR7158,3.05
MIR7159,5.34
MIR7160,1.14
MIR7161,3.05
MIR7162,11.82
MIR718,2.29
MIR744,2881.2
MIR7515,1.91
MIR758,1.14
MIR759,0.38
MIR760,6.1
MIR761,1.91
MIR762,1.91
MIR764,1.91
MIR765,0.38
MIR766,46.15
MIR767,1.14
MIR769,58.74
MIR770,2.29
MIR7702,3.05
MIR7703,6.1
MIR7704,4.2
MIR7705,0.38
MIR7706,3.05
MIR7843,1.14
MIR7844,1.53
MIR7845,4.96
MIR7846,0.76
MIR7847,0.76
MIR7848,1.53
MIR7849,6.1
MIR7850,1.91
MIR7851,5.34
MIR7852,0.76
MIR7853,1.14
MIR7854,5.34
MIR7855,3.81
MIR7856,2.29
MIR7973-1,0.38
MIR7973-2,0.38
MIR7974,2.67
MIR7975,3.05
MIR7976,1.53
MIR7977,43.48
MIR7978,3.81
MIR802,0.76
MIR8052,2.29
MIR8053,2.67
MIR8054,2.29
MIR8055,0.38
MIR8056,0.38
MIR8057,6.1
MIR8058,0.76
MIR8059,4.96
MIR8060,0.38
MIR8061,1.53
MIR8062,3106.61
MIR8063,3.43
MIR8064,0.38
MIR8065,0.38
MIR8066,4.2
MIR8067,0.38
MIR8068,0
MIR8069,0
MIR8070,1.14
MIR8071-1,0
MIR8071-2,0
MIR8072,4.58
MIR8073,0.38
MIR8074,1.14
MIR8075,1.14
MIR8076,0.76
MIR8077,5.34
MIR8078,6.1
MIR8079,1.53
MIR8080,1.53
MIR8081,1.53
MIR8082,4.2
MIR8083,2.67
MIR8084,0
MIR8085,18.31
MIR8086,0
MIR8087,0.76
MIR8088,0.76
MIR8089,4.96
MIR8485,7.25
MIR873,4.96
MIR874,2.67
MIR875,0.38
MIR876,0
MIR877,150.28
MIR885,5.72
MIR887,1.14
MIR888,0.38
MIR889,1.91
MIR890,0.38
MIR891A,0
MIR891B,2.67
MIR892A,1.14
MIR892B,0.76
MIR892C,0
MIR9-1,1.91
MIR9-2,0.76
MIR9-3,0.38
MIR920,3.05
MIR921,1.53
MIR922,3.43
MIR924,0.38
MIR92A1,11.44
MIR92A2,1.53
MIR92B,12.59
MIR93,14308.34
MIR933,1.14
MIR934,1.91
MIR935,7.25
MIR936,3.81
MIR937,0.76
MIR938,1.14
MIR939,2.29
MIR940,3.05
MIR941-1,0
MIR942,56.07
MIR943,1.14
MIR944,3.43
MIR95,82.39
MIR9500,1.53
MIR96,12.21
MIR98,3491.46
MIR99A,96.5
MIR99B,332.59
MIRLET7A1,453.12
MIRLET7A2,195.28
MIRLET7A3,69.04
MIRLET7B,23366.14
MIRLET7C,596.53
MIRLET7D,14953.31
MIRLET7E,791.43
MIRLET7F1,22266.91
MIRLET7F2,25215.99
MIRLET7G,29919.96
MIRLET7I,23395.13
SNORD138,0.38
hsa-mir-8069-1,0
