miRNA,KMG0071_R1
MIR302B,8.39
MIR302C,1.53
MIR302D,0
MIR302E,2.29
MIR302F,0
MIR3064,2.29
MIR3065,144.94
MIR3074,13267.84
MIR30A,659.08
MIR30B,173.92
MIR30C1,92.68
MIR30C2,86.96
MIR30D,11837.16
MIR30E,14470.82
MIR31,8.77
MIR3115,0.76
MIR3116-1,1.53
MIR3116-2,0.38
MIR3117,0.38
MIR3118-1,0.38
MIR3119-1,0.38
MIR3119-2,0.76
MIR3120,4.2
MIR3121,0
MIR3122,1.14
MIR3123,0.38
MIR3124,3.81
MIR3125,2.29
MIR3126,2.67
MIR3127,7.63
MIR3128,3.43
MIR3129,25.55
MIR3130-1,0
MIR3130-2,0.38
MIR3131,1.91
MIR3132,3.05
MIR3133,2.67
MIR3134,1.53
MIR3135A,2.67
MIR3135B,683.49
MIR3136,4.2
MIR3137,1.53
MIR3138,11.82
MIR3139,1.91
MIR3140,1.14
MIR3141,3.81
MIR3142,0
MIR3143,12.97
MIR3144,3.05
MIR3145,1.91
MIR3146,0
MIR3147,10.3
MIR3148,7.25
MIR3149,1.53
MIR3150A,2.67
MIR3150B,0.76
MIR3151,0.38
MIR3152,0
MIR3153,2.67
MIR3154,2.29
MIR3155A,2.29
MIR3155B,1.91
MIR3156-1,0
MIR3156-2,0
MIR3156-3,0.76
MIR3157,11.44
MIR3158-1,1.91
MIR3158-2,0.38
MIR3159,3.05
MIR3160-1,1.91
MIR3160-2,2.67
MIR3161,4.58
MIR3162,3.43
MIR3163,2.67
MIR3164,3.43
MIR3165,2.67
MIR3166,0.76
MIR3167,2.29
MIR3168,0
MIR3169,0.76
MIR3170,0.38
MIR3171,0
MIR3173,0.76
MIR3174,1.14
MIR3175,1.53
MIR3176,1.14
MIR3177,2.29
MIR3178,8.77
MIR3180-1,0
MIR3180-2,0
MIR3180-3,0
MIR3180-4,2.67
MIR3180-5,0.76
MIR3181,3.81
MIR3182,6.87
MIR3183,1.14
MIR3184,365.01
MIR3185,1.53
MIR3186,0.38
MIR3187,1.91
MIR3188,16.78
MIR3189,1.14
MIR3190,3.43
MIR3191,2.67
MIR3192,9.92
MIR3193,3.43
MIR3194,9.54
MIR3195,7.25
MIR3196,5.72
MIR3197,1.53
MIR3198-1,0.76
MIR3198-2,0.38
MIR3199-1,8.39
MIR3199-2,7.63
MIR32,18.31
MIR3200,33.56
MIR3201,0
MIR3202-1,0.38
MIR3202-2,0.38
MIR320A,6.48
MIR320B1,4687.57
MIR320B2,1.53
MIR320C1,0.38
MIR320C2,32.42
MIR320D1,6.1
MIR320D2,5.72
MIR320E,2.29
MIR323A,2.29
MIR323B,1.91
MIR324,691.12
MIR325,8.01
MIR326,1.53
MIR328,1.53
MIR329-1,9.54
MIR329-2,9.15
MIR330,15.26
MIR331,2.29
MIR335,4780.25
MIR337,17.55
MIR338,4.96
MIR339,202.53
MIR33A,11.44
